fecha,n1,n2,n3,n4,n5,superbalota
30 de Junio de 2025,3,4,8,11,17,14
28 de Junio de 2025,5,15,18,31,35,8
28 de Junio de 2025,10,13,18,34,40,12
25 de Junio de 2025,5,8,20,29,35,11
25 de Junio de 2025,4,11,12,14,21,12
23 de Junio de 2025,3,24,28,34,37,15
23 de Junio de 2025,9,17,25,42,43,3
21 de Junio de 2025,9,17,24,29,43,8
21 de Junio de 2025,5,24,26,30,43,4
18 de Junio de 2025,4,10,15,23,42,9
18 de Junio de 2025,2,6,7,13,18,14
16 de Junio de 2025,2,4,5,16,32,9
16 de Junio de 2025,4,8,10,30,40,10
14 de Junio de 2025,5,7,14,15,19,6
14 de Junio de 2025,8,9,21,27,33,2
11 de Junio de 2025,1,2,5,21,33,7
11 de Junio de 2025,11,21,23,30,34,5
9 de Junio de 2025,2,13,17,21,34,9
9 de Junio de 2025,10,28,31,32,42,10
7 de Junio de 2025,6,9,21,36,42,9
7 de Junio de 2025,3,26,27,29,30,15
4 de Junio de 2025,26,29,33,35,41,5
4 de Junio de 2025,2,10,27,31,33,10
2 de Junio de 2025,2,18,27,31,35,12
2 de Junio de 2025,15,23,26,31,39,9
31 de Mayo de 2025,2,8,16,28,31,15
31 de Mayo de 2025,2,13,34,36,41,7
28 de Mayo de 2025,1,9,10,33,37,15
28 de Mayo de 2025,1,11,22,28,40,1
24 de Mayo de 2025,1,10,13,38,40,13
24 de Mayo de 2025,7,15,33,35,36,10
21 de Mayo de 2025,2,3,4,10,34,7
21 de Mayo de 2025,3,11,20,35,40,16
17 de Mayo de 2025,6,14,34,36,41,12
17 de Mayo de 2025,2,10,14,23,36,15
14 de Mayo de 2025,3,31,40,41,42,14
14 de Mayo de 2025,18,20,21,26,36,7
10 de Mayo de 2025,2,5,18,21,28,2
10 de Mayo de 2025,5,11,23,25,34,3
7 de Mayo de 2025,5,9,17,25,32,2
7 de Mayo de 2025,8,14,30,36,42,1
3 de Mayo de 2025,10,12,24,32,37,12
3 de Mayo de 2025,3,21,31,33,40,14
30 de Abril de 2025,5,12,17,19,22,16
30 de Abril de 2025,6,23,32,34,40,14
26 de Abril de 2025,1,15,20,23,31,10
26 de Abril de 2025,1,16,18,20,25,15
23 de Abril de 2025,4,5,19,28,43,5
23 de Abril de 2025,2,9,22,23,25,5
19 de Abril de 2025,11,26,31,35,43,6
19 de Abril de 2025,24,34,35,36,40,5
16 de Abril de 2025,5,11,18,31,32,9
16 de Abril de 2025,18,32,34,36,38,13
12 de Abril de 2025,3,4,13,38,39,1
12 de Abril de 2025,21,25,38,39,42,15
9 de Abril de 2025,7,8,9,19,26,4
9 de Abril de 2025,12,25,28,37,42,9
5 de Abril de 2025,1,7,22,40,41,3
5 de Abril de 2025,4,9,17,18,37,5
2 de Abril de 2025,18,25,40,41,43,13
2 de Abril de 2025,9,13,20,23,24,10
29 de Marzo de 2025,3,9,27,36,37,1
29 de Marzo de 2025,17,25,27,28,39,3
26 de Marzo de 2025,3,9,21,27,39,3
26 de Marzo de 2025,7,13,35,37,43,2
22 de Marzo de 2025,8,12,22,26,28,1
22 de Marzo de 2025,6,10,17,21,40,16
19 de Marzo de 2025,1,18,27,40,43,1
19 de Marzo de 2025,9,15,18,28,42,11
15 de Marzo de 2025,17,21,25,26,39,15
15 de Marzo de 2025,5,10,13,31,37,16
12 de Marzo de 2025,9,16,32,33,40,12
